time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.124,0.135,0.1300952380952381,0.131,0.004330454302624635,0.097,0.101,0.0986,0.0985,0.0011135528725660054,1.371,1.469,1.4241499999999998,1.4344999999999999,0.038151376121969706,0.182,0.186,0.18435,0.185,0.001061838029079766,0.445,0.491,0.47050000000000003,0.479,0.019317090878287025,1.81,1.93,1.8756500000000003,1.8860000000000001,0.04609802056487891,0.293,0.296,0.2948,0.295,0.0008717797887081354,1.689,1.843,1.7817500000000002,1.824,0.06207888127213634,0.221,0.225,0.22250000000000006,0.222,0.0009219544457292896,32,32,2560,10240,51200,False,4096,1
0.122,0.134,0.1290952380952381,0.132,0.0043084055376257265,0.097,0.10300000000000001,0.10030000000000001,0.1,0.0015524174696260038,1.341,1.455,1.4092,1.439,0.04686427210573103,0.183,0.186,0.18445000000000003,0.1845,0.0009733961166965903,0.436,0.485,0.46864999999999996,0.4815,0.0185587580403431,1.7650000000000001,1.911,1.8540000000000003,1.8925,0.05984312826047783,0.294,0.297,0.2953499999999999,0.295,0.0008529361054615998,1.653,1.824,1.76235,1.8065,0.06738640441513404,0.221,0.224,0.22245000000000004,0.2225,0.0007399324293474378,32,32,2560,10240,51200,False,4096,1
0.122,0.133,0.12895238095238096,0.131,0.0035250962901565265,0.097,0.10300000000000001,0.09930000000000001,0.099,0.0014177446878757838,1.358,1.452,1.41575,1.428,0.03913933443481119,0.182,0.185,0.1832,0.183,0.0008717797887081355,0.442,0.484,0.46935000000000004,0.47550000000000003,0.01685608198840999,1.7890000000000001,1.9060000000000001,1.8607,1.877,0.04739736279583497,0.291,0.294,0.29274999999999995,0.293,0.0008874119674649432,1.668,1.822,1.7673,1.8045,0.06491001463564773,0.22,0.222,0.22095000000000004,0.221,0.0007399324293474377,32,32,2560,10240,51200,False,4064,1
0.122,0.133,0.12795238095238098,0.13,0.0038972052315447885,0.095,0.10200000000000001,0.09790000000000001,0.098,0.0013379088160259665,1.289,1.3820000000000001,1.34345,1.3570000000000002,0.03916819500564206,0.181,0.184,0.18255,0.1825,0.0008645808232895299,0.442,0.489,0.47265000000000007,0.4805,0.018067304724280257,1.724,1.84,1.7907,1.8075,0.04899397922194113,0.29,0.292,0.29084999999999994,0.291,0.0008529361054615998,1.672,1.841,1.7826500000000003,1.8215,0.0695911452700701,0.218,0.223,0.21925,0.219,0.001219631091765048,32,32,2560,10240,51200,False,4032,1
0.121,0.131,0.1275238095238095,0.13,0.0034726008863818192,0.096,0.099,0.09725,0.097,0.0009937303457175904,1.274,1.3780000000000001,1.3324500000000001,1.3475000000000001,0.043816064405649204,0.18,0.183,0.18149999999999997,0.1815,0.0009219544457292896,0.441,0.488,0.46905,0.476,0.018922143113294532,1.694,1.836,1.7765999999999997,1.794,0.05748251908189133,0.28600000000000003,0.29,0.28845,0.2885,0.0009205976319760767,1.663,1.84,1.7776000000000003,1.8210000000000002,0.06996670636810055,0.216,0.219,0.21749999999999997,0.218,0.0008062257748298557,32,32,2560,10240,51200,False,4000,1
0.117,0.13,0.1249047619047619,0.127,0.004628120691359166,0.095,0.099,0.09615,0.096,0.0009096702699330133,1.2690000000000001,1.363,1.3258,1.3375,0.03767439448750304,0.178,0.181,0.17995,0.18,0.0008645808232895298,0.44,0.483,0.46690000000000004,0.47400000000000003,0.017343298417544447,1.716,1.814,1.7711499999999998,1.778,0.03965762852213933,0.28500000000000003,0.28800000000000003,0.28565000000000007,0.28550000000000003,0.0007921489758877438,1.6620000000000001,1.821,1.76145,1.79,0.06562581428066241,0.214,0.218,0.21575000000000003,0.216,0.0009937303457175904,32,32,2560,10240,51200,False,3968,1
0.12,0.128,0.12490476190476188,0.126,0.002223355719986431,0.093,0.097,0.095,0.095,0.0010488088481701524,1.258,1.341,1.3131,1.332,0.029260724529648945,0.177,0.179,0.17834999999999995,0.178,0.0005722761571129804,0.445,0.47500000000000003,0.46595000000000003,0.47400000000000003,0.01107463317676934,1.679,1.782,1.7474500000000002,1.7610000000000001,0.03514039698125223,0.28200000000000003,0.28500000000000003,0.28375000000000006,0.28400000000000003,0.0006982120021884477,1.671,1.786,1.7497999999999998,1.768,0.04348287019045549,0.212,0.217,0.21415,0.214,0.0011947803145348531,32,32,2560,10240,51200,False,3936,1
0.116,0.124,0.12142857142857141,0.123,0.0025740727146170593,0.092,0.097,0.0948,0.095,0.001363818169698587,1.307,1.4000000000000001,1.3691499999999999,1.3945,0.034546020031256876,0.17200000000000001,0.17400000000000002,0.17285,0.17300000000000001,0.0007262919523166982,0.434,0.464,0.4541000000000001,0.46,0.011462547709824383,1.643,1.745,1.7066,1.727,0.04183108891721561,0.28,0.28300000000000003,0.28159999999999996,0.28200000000000003,0.0007348469228349541,1.645,1.7510000000000001,1.7151,1.7389999999999999,0.04155586601191218,0.21,0.213,0.21185,0.212,0.0007921489758877437,32,32,2560,10240,51200,False,3904,1
0.122,0.125,0.12323809523809529,0.123,0.0006834619092574923,0.091,0.095,0.09290000000000001,0.093,0.0011789826122551605,1.4060000000000001,1.422,1.4107999999999998,1.407,0.0062016126934854076,0.169,0.17200000000000001,0.1708,0.171,0.0006000000000000005,0.468,0.47400000000000003,0.4702,0.46900000000000003,0.0019646882704388515,1.758,1.7770000000000001,1.7652,1.7610000000000001,0.007560423268574332,0.278,0.28,0.27895000000000003,0.279,0.0007399324293474377,1.768,1.7870000000000001,1.77365,1.7690000000000001,0.0078947767542851,0.209,0.212,0.2105,0.21,0.0008660254037844396,32,32,2560,10240,51200,False,3872,1
0.122,0.127,0.12471428571428571,0.125,0.001118794297568642,0.091,0.096,0.09335,0.0935,0.001492481155659931,1.338,1.3780000000000001,1.3578999999999999,1.3635000000000002,0.012328422445714629,0.171,0.17300000000000001,0.17165000000000002,0.17200000000000001,0.0005722761571129803,0.47500000000000003,0.489,0.4819,0.484,0.004559605246071179,1.776,1.834,1.8029,1.81,0.017463962895059037,0.273,0.276,0.27490000000000003,0.275,0.0008306623862918082,1.736,1.786,1.76145,1.7710000000000001,0.016335467547640054,0.20700000000000002,0.211,0.20885000000000004,0.209,0.001013656746635655,32,32,2560,10240,51200,False,3840,1
